,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_n_neighbors,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,split8_test_score,split8_train_score,split9_test_score,split9_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.8366084575653077,36.71504166126251,0.7767713717618833,0.8500828233177214,3,{'n_neighbors': 3},1,0.807017543859649,0.8502369668246447,0.7792207792207793,0.852132701421801,0.7348837209302325,0.8496669838249287,0.7579908675799086,0.8548539114043355,0.7837837837837838,0.8457142857142859,0.8071748878923766,0.843407900999524,0.8205128205128204,0.8472485768500948,0.8086956521739129,0.8490028490028491,0.7069767441860464,0.8603667136812413,0.761467889908257,0.8481973434535105,0.38004981766006896,3.884187251322952,0.03469612416338058,0.004575078208186049
1,2.217877459526062,33.651846694946286,0.7255209419160132,0.7832734626416166,4,{'n_neighbors': 4},19,0.7499999999999999,0.7812026275896917,0.7188940092165899,0.7832238504295099,0.6893203883495146,0.7848866498740554,0.7238095238095238,0.7828715365239295,0.7383177570093459,0.7846696923852748,0.7211538461538463,0.7785642062689586,0.7873303167420814,0.780808080808081,0.7706422018348623,0.785929648241206,0.6600985221674877,0.7822132390096008,0.6956521739130436,0.7883650952858575,0.2807797498227467,1.7450304544824662,0.03628442159335844,0.0026713950769911912
2,2.0766512870788576,33.80995144844055,0.7625532829997465,0.815907020587472,5,{'n_neighbors': 5},2,0.7727272727272728,0.8152120916626038,0.7860262008733625,0.8164062500000001,0.728110599078341,0.8175182481751825,0.7557603686635943,0.8171206225680933,0.780269058295964,0.8136919315403424,0.7706422018348623,0.8152120916626036,0.7946428571428572,0.8130795510004881,0.7892376681614349,0.8180933852140078,0.6981132075471698,0.8181374939054119,0.7500000000000001,0.8145985401459854,0.5295395595079758,1.8996569914952826,0.028839494191548482,0.0017219899202472627
3,2.1183730363845825,33.44933156967163,0.7296253768837957,0.7710878689717976,6,{'n_neighbors': 6},14,0.7417840375586855,0.7744551444500761,0.7692307692307694,0.7660878447395301,0.6889952153110048,0.7801920161697827,0.7177033492822966,0.7703252032520325,0.761467889908257,0.7729812087353986,0.7393364928909952,0.7656967840735068,0.7649769585253456,0.7695431472081218,0.7534883720930233,0.7725888324873096,0.6763285024154589,0.7716615698267074,0.6829268292682927,0.7673469387755102,0.26064915285995394,1.3901495969283286,0.03384913614023984,0.004140256293033877
4,2.1315075635910032,33.623280787467955,0.7582103253819213,0.7962675545850265,7,{'n_neighbors': 7},3,0.7837837837837838,0.7936507936507936,0.7947598253275108,0.7904191616766466,0.7397260273972603,0.8039408866995075,0.7358490566037735,0.7982239763196843,0.7545454545454546,0.7996051332675223,0.7592592592592593,0.7936665017318159,0.7857142857142857,0.7948591201186357,0.7706422018348623,0.794846382556987,0.7136150234741784,0.8003942828979793,0.7441860465116279,0.793069306930693,0.28617263558703965,1.9389471426579494,0.024377631787221975,0.003910572192844713
5,2.1084217548370363,33.42799916267395,0.733034917288545,0.7663374466973091,8,{'n_neighbors': 8},12,0.7417840375586855,0.759079283887468,0.7692307692307694,0.762148337595908,0.7075471698113207,0.7760891590678825,0.7177033492822966,0.7712550607287451,0.7314814814814816,0.7620020429009194,0.7452830188679245,0.7647657841140529,0.7557603686635945,0.7622448979591836,0.7452830188679245,0.7689182326053835,0.6985645933014354,0.7718052738336714,0.7177033492822966,0.7650663942798774,0.4492050869034699,1.8093557040919275,0.021245646488375246,0.005154574207728257
6,2.251982021331787,32.93620195388794,0.753538044111707,0.7851985526788179,9,{'n_neighbors': 9},5,0.7557603686635943,0.7825651302605211,0.7876106194690267,0.7831747621432148,0.7431192660550459,0.7906046976511745,0.7358490566037735,0.7876678269517652,0.7454545454545454,0.7823911955977989,0.7706422018348623,0.7811717576364545,0.7767857142857143,0.785,0.7557603686635945,0.7825651302605211,0.7109004739336493,0.7924528301886792,0.7534883720930233,0.784392196098049,0.65266837034812,1.4721890217176106,0.02075667160385195,0.0036152424909097394
7,2.1477265119552613,33.04342000484466,0.7334634855854978,0.761860173129562,10,{'n_neighbors': 10},11,0.7298578199052133,0.7623914154317833,0.7692307692307694,0.7539804827940421,0.7196261682242991,0.7677386421643696,0.7177033492822966,0.7648552564753681,0.7314814814814816,0.7598566308243727,0.7358490566037735,0.7605921388463501,0.7579908675799086,0.7623914154317833,0.7417840375586855,0.7622448979591836,0.6893203883495146,0.7695431472081218,0.7417840375586855,0.7550077041602464,0.5136896665900252,2.1202280247817527,0.021048331433488766,0.004668355241050188
8,2.618327522277832,33.93168802261353,0.7558341441201042,0.7771551317274263,11,{'n_neighbors': 11},4,0.7383177570093459,0.7744209466263848,0.7964601769911505,0.7748110831234257,0.7431192660550459,0.7801204819277108,0.7298578199052133,0.7830423940149627,0.7488584474885845,0.7776659959758552,0.7727272727272727,0.7731854838709677,0.7747747747747747,0.7778894472361809,0.7873303167420814,0.7767185148018063,0.701923076923077,0.784,0.7649769585253456,0.7696969696969697,0.5021882994899782,1.7283697093413866,0.027327927027348774,0.004191048002700818
9,2.8998482465744018,33.88588447570801,0.7337416166640787,0.756622457007183,12,{'n_neighbors': 12},10,0.7358490566037735,0.7593254982115484,0.7837837837837838,0.7530864197530863,0.7136150234741784,0.7589743589743589,0.7115384615384616,0.7602040816326532,0.7314814814814816,0.756034925526451,0.7417840375586855,0.7555099948744234,0.7579908675799086,0.7518022657054583,0.7298578199052133,0.7570332480818415,0.6956521739130436,0.7651553744268976,0.7358490566037735,0.7490984028851108,0.2810484617568968,0.9489381378468071,0.023527761800341197,0.004388362996486226
