,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_max_depth,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,split8_test_score,split8_train_score,split9_test_score,split9_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,1.9705808877944946,0.0037018775939941405,0.437374299490881,0.43857532018087053,2,{'max_depth': 2},28,0.43749999999999994,0.436586329514026,0.4522968197879858,0.4351084812623274,0.4448462929475588,0.4498877321902429,0.4275862068965518,0.44032675831839013,0.4583333333333333,0.43444227005870834,0.42477876106194695,0.43800512517248175,0.42807017543859655,0.44024656989461125,0.4313725490196078,0.4372661020287571,0.44036697247706424,0.43628509719222464,0.4285714285714285,0.43759873617693523,0.066939900140353,0.0016176405203307304,0.010868999130016715,0.004184811203257963
1,2.8508355617523193,0.002799367904663086,0.5978171740809687,0.604861239640277,3,{'max_depth': 3},27,0.6288659793814433,0.6395002974419989,0.6310432569974554,0.6128668171557563,0.5891089108910891,0.6377836722664308,0.5344467640918581,0.5278827977315691,0.5496535796766744,0.5649236927695771,0.6353591160220995,0.6402132069884513,0.5204301075268817,0.5211952744961779,0.5925925925925926,0.6002699055330634,0.6413043478260869,0.6375184638109305,0.655367231638418,0.6664582682088153,0.046385612664056344,0.0012494710975534103,0.045940931700060875,0.04795836967858934
2,3.746560311317444,0.0024994850158691407,0.6876362834752929,0.7017760822845331,4,{'max_depth': 4},25,0.6961651917404129,0.739349211673935,0.7636363636363637,0.7577426015141088,0.6852367688022283,0.6987724268177526,0.6507936507936508,0.6704784832982246,0.7023809523809523,0.7193828351012537,0.6816901408450704,0.6777811458017581,0.6611570247933883,0.6813052759987801,0.6269430051813472,0.6537460225629159,0.6666666666666665,0.6599882144961696,0.7416413373860182,0.759214605580434,0.02285732268115341,0.0006703821894837067,0.03899507225016628,0.037669162582120184
3,4.643466782569885,0.0027998924255371095,0.6814306320529375,0.7219085473816989,5,{'max_depth': 5},26,0.7058823529411764,0.7431906614785992,0.6363636363636365,0.6967312348668282,0.7175141242937852,0.7479621780241279,0.6927374301675978,0.7397527651268706,0.6722222222222223,0.6877234803337308,0.6875000000000001,0.7176100628930817,0.6062176165803109,0.6636155606407323,0.6402116402116402,0.7171464330413017,0.7524752475247525,0.7705802968960863,0.7031700288184438,0.7347728005156301,0.031229095653334794,0.0014697463214430643,0.041296888609474405,0.030374837030222524
4,5.47833218574524,0.003400111198425293,0.7178970320502543,0.7719285384311931,6,{'max_depth': 6},24,0.7460815047021944,0.8091228070175437,0.7220630372492838,0.786996274974602,0.7530864197530863,0.8036211699164346,0.7065527065527065,0.7595019659239842,0.6704225352112675,0.7342723004694837,0.7439024390243901,0.759095378564405,0.7112462006079027,0.7673576834485029,0.675977653631285,0.7578124999999999,0.7793103448275863,0.8355167394468704,0.670299727520436,0.7059885645501053,0.02568863289330947,0.002107317494558527,0.03598051175612869,0.0360050966734701
5,6.37056884765625,0.004000306129455566,0.7343031685186191,0.8122981065972077,7,{'max_depth': 7},23,0.7232704402515723,0.8269298554811421,0.7256637168141593,0.8301090397467463,0.7155963302752295,0.8158894645941277,0.7663551401869159,0.8343994314143568,0.7227414330218067,0.8136410609714088,0.7806451612903226,0.8164819944598338,0.705521472392638,0.8010825439783491,0.7147147147147148,0.7995937711577522,0.7232704402515723,0.7788429752066115,0.7652733118971061,0.8060109289617486,0.11339178309736567,0.0030979778231100034,0.024792912214697677,0.015804922248751657
6,7.544905829429626,0.0024997472763061525,0.7446939929662433,0.8494847366223108,8,{'max_depth': 8},22,0.7025316455696201,0.8307264511644074,0.7267080745341615,0.8443346276032474,0.7476038338658147,0.8363636363636363,0.71875,0.8542568542568543,0.7058823529411764,0.8306731436502428,0.7882736156351792,0.8574521833273188,0.7435897435897435,0.8533713877987871,0.7232704402515723,0.8416225749559082,0.7985865724381626,0.8752783964365257,0.7918088737201365,0.8707681106661813,0.24747508755609215,0.0005004673357077369,0.03430969730161336,0.014784803187149434
7,7.968976759910584,0.0035005807876586914,0.7705968916667787,0.8932810527464532,9,{'max_depth': 9},21,0.722972972972973,0.8791773778920309,0.7722772277227723,0.8995863106430989,0.7682119205298013,0.8781558726673985,0.7210031347962382,0.8627873563218391,0.7337662337662338,0.8873291466568156,0.8013468013468013,0.8936170212765958,0.7916666666666666,0.9175929474894595,0.7371794871794872,0.8865064695009242,0.8158844765342961,0.9077040427154843,0.8417266187050358,0.9203539823008849,0.61215390224389,0.0014316206813978177,0.03963291401545515,0.017351581873153703
8,7.859849190711975,0.0033005714416503907,0.7804108467905586,0.9181987202252131,10,{'max_depth': 10},19,0.7456445993031359,0.907505686125853,0.770764119601329,0.922247882986913,0.7876712328767124,0.9088157396897465,0.770764119601329,0.9187116564417177,0.75,0.9178448605273214,0.7891156462585035,0.9112964366944655,0.7985865724381626,0.9373531714956931,0.7697594501718212,0.9242016160061561,0.7915194346289753,0.8999999999999999,0.8303249097472925,0.934010152284264,0.6185832926350655,0.001734642334557275,0.023465919520273396,0.01118449561696997
9,7.719067621231079,0.0034037351608276365,0.773902939249021,0.923019536927443,11,{'max_depth': 11},20,0.7561837455830388,0.9165390505359877,0.7759197324414715,0.9280742459396752,0.7931034482758621,0.9178448605273214,0.7651006711409395,0.9317300232738556,0.743859649122807,0.9299264421215641,0.795774647887324,0.9317829457364342,0.7777777777777777,0.9165078154784597,0.7762237762237763,0.9346811819595645,0.7578947368421052,0.9027412692452121,0.7972027972027971,0.9203675344563553,0.8057964032649176,0.0020192899666785194,0.017218268210858045,0.009441064807544175
10,7.986857438087464,0.002500033378601074,0.7860965774563771,0.9342905440927043,12,{'max_depth': 12},18,0.7247386759581882,0.9140030441400304,0.7837837837837838,0.9349941611521992,0.7793103448275862,0.9292069632495165,0.7889273356401384,0.9397496087636933,0.7420494699646643,0.9360872954014029,0.8113879003558719,0.936866718628215,0.7928571428571429,0.9379633242294186,0.7944250871080138,0.9431149470380541,0.8102189781021898,0.9285438393202009,0.8333333333333334,0.9423755390043121,0.8713180285294976,0.0009219264831344283,0.03055003419354082,0.00816907621954726
11,8.072690725326538,0.003999543190002441,0.7863778662667643,0.9384390525877639,13,{'max_depth': 13},16,0.7394366197183099,0.9266975308641975,0.7811447811447811,0.9379148770011714,0.7972027972027972,0.9390148553557467,0.8,0.9430702787593248,0.7394366197183099,0.9408538973756364,0.8113879003558719,0.936866718628215,0.797153024911032,0.9427450980392157,0.7804878048780488,0.9427450980392157,0.7854545454545454,0.9343179168286048,0.8321167883211678,0.9401642549863121,0.8073129968323157,0.002408679368919823,0.02758015973241116,0.00474621685831472
